Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"KY-040 Rotary Encoder Module","The Volume control.",1,2.00,"https://www.amazon.in/Electronic-Spices-KY-040-encoder-development/dp/B0BHWCWJDR","Amazon"
"M3x4 mm Brass Heat Set Threaded Round Insert Nut (25Pcs)","Metal Screw threads to hold the plastic.",1,4.00,"https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/","Robu"
"Cherry MX RGB Switch","To provide user input to a circuit by completing a connection only while the button is physically held down.",1,5.00,"https://meckeys.com/shop/accessories/keyboard-accessories/key-switches/cherry-mx-rgb-switch/?attribute_pa_cherry-mx=black-rgb","meckeys"
"Blue 1.8 Inch ST7735 TFT LCD Module with 4 IO 128*160","The Display to display the current track and more options.",1,5.00,"https://robu.in/product/blue-1-8-inch-st7735-tft-lcd-module-with-4-io-128160/","Robu"
"7Semi ESP32-S3-Dev-BoardC-1-N4R2– WiFi, Bluetooth, Dual USB, RGB LED","Core Computation for all the images and as the WIFI bridge.",1,11.80,"https://7semi.com/esp32-s3-dev-board-wifi-bluetooth-dualusb/","7Semi"
